ALG	DATA SET	PLEN	AVG T	STDEV T	T ERR	T CONF INT	AVG C	STDEV C	C ERR	C CONF INT
BF	BINA.txt	4	0.024865	0.000555	0.000344	[0.024521 to 0.025209]	1875024.000000	1175.236997	728.419438	[1874295.580562 to 1875752.419438]
BF	BINA.txt	8	0.026696	0.000681	0.000422	[0.026273 to 0.027118]	1992198.000000	1407.324412	872.268707	[1991325.731293 to 1993070.268707]
BF	BINA.txt	16	0.026725	0.000558	0.000346	[0.026380 to 0.027071]	2000194.000000	1186.450168	735.369432	[1999458.630568 to 2000929.369432]
BF	BINA.txt	32	0.026901	0.000552	0.000342	[0.026559 to 0.027243]	2000327.000000	1314.595375	814.794655	[1999512.205345 to 2001141.794655]
BF	BINA.txt	64	0.026505	0.000677	0.000420	[0.026085 to 0.026924]	2000275.000000	1297.782724	804.374066	[1999470.625934 to 2001079.374066]
BF	BINA.txt	128	0.027265	0.000744	0.000461	[0.026804 to 0.027726]	2000237.000000	1160.038792	718.999493	[1999518.000507 to 2000955.999493]
BF	RDNA.txt	4	0.018150	0.000776	0.000481	[0.017669 to 0.018631]	1334846.000000	34860.052811	21606.484582	[1313239.515418 to 1356452.484582]
BF	RDNA.txt	8	0.017928	0.000507	0.000314	[0.017614 to 0.018242]	1344741.000000	21187.483711	13132.138457	[1331608.861543 to 1357873.138457]
BF	RDNA.txt	16	0.017878	0.000398	0.000247	[0.017631 to 0.018125]	1329848.000000	20200.097945	12520.150419	[1317327.849581 to 1342368.150419]
BF	RDNA.txt	32	0.018428	0.000492	0.000305	[0.018123 to 0.018733]	1350221.000000	21265.538860	13180.517540	[1337040.482460 to 1363401.517540]
BF	RDNA.txt	64	0.018278	0.000534	0.000331	[0.017947 to 0.018609]	1352217.000000	23025.097025	14271.102989	[1337945.897011 to 1366488.102989]
BF	RDNA.txt	128	0.017749	0.000405	0.000251	[0.017498 to 0.018000]	1324791.000000	18862.105980	11690.854407	[1313100.145593 to 1336481.854407]
BF	RLNG.txt	4	0.012047	0.001129	0.000700	[0.011348 to 0.012747]	1061147.000000	47587.473677	29495.021763	[1031651.978237 to 1090642.021763]
BF	RLNG.txt	8	0.012429	0.001124	0.000697	[0.011732 to 0.013126]	1077551.000000	47233.916998	29275.885063	[1048275.114937 to 1106826.885063]
BF	RLNG.txt	16	0.012115	0.000778	0.000482	[0.011632 to 0.012597]	1063568.000000	32677.253220	20253.571379	[1043314.428621 to 1083821.571379]
BF	RLNG.txt	32	0.013070	0.001232	0.000764	[0.012306 to 0.013834]	1104300.000000	52085.339310	32282.827765	[1072017.172235 to 1136582.827765]
BF	RLNG.txt	64	0.011805	0.000629	0.000390	[0.011416 to 0.012195]	1050904.000000	25757.770750	15964.831712	[1034939.168288 to 1066868.831712]
BF	RLNG.txt	128	0.012823	0.001134	0.000703	[0.012120 to 0.013526]	1094341.000000	48859.140629	30283.209106	[1064057.790894 to 1124624.209106]
BF	SDNA.txt	4	0.018250	0.000351	0.000217	[0.018033 to 0.018468]	1328078.000000	756.072748	468.618744	[1327609.381256 to 1328546.618744]
BF	SDNA.txt	8	0.018506	0.000059	0.000036	[0.018470 to 0.018543]	1333534.000000	700.658976	434.272932	[1333099.727068 to 1333968.272932]
BF	SDNA.txt	16	0.018219	0.000437	0.000271	[0.017948 to 0.018490]	1333403.000000	888.002252	550.389498	[1332852.610502 to 1333953.389498]
BF	SDNA.txt	32	0.018073	0.000488	0.000302	[0.017770 to 0.018375]	1333077.000000	847.236685	525.122738	[1332551.877262 to 1333602.122738]
BF	SDNA.txt	64	0.018217	0.000410	0.000254	[0.017963 to 0.018471]	1333045.000000	856.987164	531.166148	[1332513.833852 to 1333576.166148]
BF	SDNA.txt	128	0.018291	0.000355	0.000220	[0.018071 to 0.018511]	1333229.000000	877.458831	543.854618	[1332685.145382 to 1333772.854618]
BF	SLNG.txt	4	0.013897	0.001501	0.000930	[0.012967 to 0.014827]	1141091.000000	65067.734715	40329.399802	[1100761.600198 to 1181420.399802]
BF	SLNG.txt	8	0.013030	0.001164	0.000721	[0.012309 to 0.013752]	1103003.000000	50085.746086	31043.467044	[1071959.532956 to 1134046.467044]
BF	SLNG.txt	16	0.012952	0.001276	0.000791	[0.012161 to 0.013743]	1099074.000000	54709.548454	33909.329443	[1065164.670557 to 1132983.329443]
BF	SLNG.txt	32	0.013365	0.001690	0.001047	[0.012317 to 0.014412]	1120661.000000	77537.687482	48058.356601	[1072602.643399 to 1168719.356601]
BF	SLNG.txt	64	0.012568	0.001354	0.000839	[0.011729 to 0.013407]	1084151.000000	58149.979407	36041.730640	[1048109.269360 to 1120192.730640]
BF	SLNG.txt	128	0.012980	0.001139	0.000706	[0.012275 to 0.013686]	1101892.000000	50646.651202	31391.119637	[1070500.880363 to 1133283.119637]
BMH	BINA.txt	4	0.019764	0.002565	0.001590	[0.018174 to 0.021354]	1182750.000000	167306.143856	103697.422301	[1079052.577699 to 1286447.422301]
BMH	BINA.txt	8	0.018693	0.004341	0.002691	[0.016002 to 0.021384]	1112656.000000	258740.482915	160369.012785	[952286.987215 to 1273025.012785]
BMH	BINA.txt	16	0.020707	0.002775	0.001720	[0.018987 to 0.022427]	1260159.000000	168329.477086	104331.690808	[1155827.309192 to 1364490.690808]
BMH	BINA.txt	32	0.019957	0.005027	0.003116	[0.016841 to 0.023073]	1198968.000000	297035.258244	184104.360440	[1014863.639560 to 1383072.360440]
BMH	BINA.txt	64	0.020946	0.004185	0.002594	[0.018353 to 0.023540]	1274737.000000	261706.369313	162207.288220	[1112529.711780 to 1436944.288220]
BMH	BINA.txt	128	0.018265	0.004417	0.002738	[0.015527 to 0.021003]	1114699.000000	261666.737854	162182.724387	[952516.275613 to 1276881.724387]
BMH	RDNA.txt	4	0.008669	0.000555	0.000344	[0.008325 to 0.009013]	535650.000000	32333.386352	20040.440486	[515609.559514 to 555690.440486]
BMH	RDNA.txt	8	0.006841	0.001687	0.001046	[0.005795 to 0.007886]	421105.000000	102057.440478	63255.856959	[357849.143041 to 484360.856959]
BMH	RDNA.txt	16	0.005502	0.001164	0.000722	[0.004780 to 0.006224]	337354.000000	68785.039180	42633.408980	[294720.591020 to 379987.408980]
BMH	RDNA.txt	32	0.005637	0.001585	0.000982	[0.004655 to 0.006620]	345877.000000	98208.031291	60869.968426	[285007.031574 to 406746.968426]
BMH	RDNA.txt	64	0.005969	0.001838	0.001139	[0.004831 to 0.007108]	369933.000000	115863.973577	71813.234831	[298119.765169 to 441746.234831]
BMH	RDNA.txt	128	0.006170	0.000946	0.000586	[0.005583 to 0.006756]	381656.000000	59065.305781	36609.055805	[345046.944195 to 418265.055805]
BMH	RLNG.txt	4	0.004754	0.000764	0.000474	[0.004280 to 0.005228]	324134.000000	33702.116907	20888.788473	[303245.211527 to 345022.788473]
