ALG	DATA SET	PLEN	IT	EJECTIME	NCOM
BF	BINA.txt	4	0	0.025217	1875161
BF	BINA.txt	4	1	0.024383	1874493
BF	BINA.txt	4	2	0.024353	1875161
BF	BINA.txt	4	3	0.025212	1874926
BF	BINA.txt	4	4	0.025118	1874493
BF	BINA.txt	4	5	0.025602	1874926
BF	BINA.txt	4	6	0.025055	1875161
BF	BINA.txt	4	7	0.025148	1874293
BF	BINA.txt	4	8	0.024416	1876504
BF	BINA.txt	4	9	0.024646	1873677
BF	BINA.txt	4	10	0.024255	1874926
BF	BINA.txt	4	11	0.024444	1873677
BF	BINA.txt	4	12	0.024293	1874926
BF	BINA.txt	4	13	0.025567	1874493
BF	BINA.txt	4	14	0.025090	1874293
BF	BINA.txt	4	15	0.025633	1875161
BF	BINA.txt	4	16	0.024694	1873677
BF	BINA.txt	4	17	0.024384	1876739
BF	BINA.txt	4	18	0.025061	1874493
BF	BINA.txt	4	19	0.024428	1876739
BF	BINA.txt	4	20	0.025186	1874293
BF	BINA.txt	4	21	0.025266	1876504
BF	BINA.txt	4	22	0.024623	1873677
BF	BINA.txt	4	23	0.025161	1876504
BF	BINA.txt	4	24	0.024293	1873677
BF	BINA.txt	4	25	0.024181	1874147
BF	BINA.txt	4	26	0.025556	1875161
BF	BINA.txt	4	27	0.025108	1874493
BF	BINA.txt	4	28	0.025117	1876504
BF	BINA.txt	4	29	0.025168	1876504
BF	BINA.txt	4	30	0.024628	1873677
BF	BINA.txt	4	31	0.024301	1873677
BF	BINA.txt	4	32	0.024253	1873677
BF	BINA.txt	4	33	0.024337	1874293
BF	BINA.txt	4	34	0.024329	1874293
BF	BINA.txt	4	35	0.024180	1874147
BF	BINA.txt	4	36	0.024983	1874493
BF	BINA.txt	4	37	0.025198	1874926
BF	BINA.txt	4	38	0.025099	1874293
BF	BINA.txt	4	39	0.024255	1874926
BF	BINA.txt	4	40	0.024455	1874926
BF	BINA.txt	4	41	0.024385	1876739
BF	BINA.txt	4	42	0.024956	1874493
BF	BINA.txt	4	43	0.024928	1874493
BF	BINA.txt	4	44	0.024407	1874147
BF	BINA.txt	4	45	0.024494	1876739
BF	BINA.txt	4	46	0.025487	1873677
BF	BINA.txt	4	47	0.025090	1874293
BF	BINA.txt	4	48	0.025151	1874293
BF	BINA.txt	4	49	0.025197	1874926
BF	BINA.txt	4	50	0.025064	1874493
BF	BINA.txt	4	51	0.025554	1875161
BF	BINA.txt	4	52	0.025494	1873677
BF	BINA.txt	4	53	0.024210	1876739
BF	BINA.txt	4	54	0.025444	1874926
BF	BINA.txt	4	55	0.025096	1874293
BF	BINA.txt	4	56	0.024364	1874147
BF	BINA.txt	4	57	0.025048	1876504
BF	BINA.txt	4	58	0.025061	1874493
BF	BINA.txt	4	59	0.025118	1876504
BF	BINA.txt	4	60	0.024270	1876739
BF	BINA.txt	4	61	0.024384	1876739
BF	BINA.txt	4	62	0.025312	1876504
BF	BINA.txt	4	63	0.024209	1876739
BF	BINA.txt	4	64	0.025498	1873677
BF	BINA.txt	4	65	0.025108	1876504
BF	BINA.txt	4	66	0.025496	1874926
BF	BINA.txt	4	67	0.024350	1876504
BF	BINA.txt	4	68	0.025552	1873677
BF	BINA.txt	4	69	0.025099	1874293
BF	BINA.txt	4	70	0.025498	1873677
BF	BINA.txt	4	71	0.024531	1873677
BF	BINA.txt	4	72	0.025099	1874293
BF	BINA.txt	4	73	0.024439	1876739
BF	BINA.txt	4	74	0.024406	1874147
BF	BINA.txt	4	75	0.024180	1874147
BF	BINA.txt	4	76	0.025255	1876504
BF	BINA.txt	4	77	0.025305	1876504
BF	BINA.txt	4	78	0.024360	1874147
BF	BINA.txt	4	79	0.024351	1875161
BF	BINA.txt	4	80	0.025099	1874293
BF	BINA.txt	4	81	0.025203	1874926
BF	BINA.txt	4	82	0.024398	1876504
BF	BINA.txt	4	83	0.024262	1873677
BF	BINA.txt	4	84	0.025097	1874293
BF	BINA.txt	4	85	0.025177	1876504
BF	BINA.txt	4	86	0.024409	1876504
BF	BINA.txt	4	87	0.025055	1875161
BF	BINA.txt	4	88	0.025562	1874493
BF	BINA.txt	4	89	0.024247	1876739
BF	BINA.txt	4	90	0.024767	1875161
BF	BINA.txt	4	91	0.024384	1876739
BF	BINA.txt	4	92	0.025087	1874293
BF	BINA.txt	4	93	0.024233	1874147
BF	BINA.txt	4	94	0.024936	1874293
BF	BINA.txt	4	95	0.024179	1874147
BF	BINA.txt	4	96	0.024205	1876739
BF	BINA.txt	4	97	0.024408	1874147
BF	BINA.txt	4	98	0.025215	1874293
BF	BINA.txt	4	99	0.025447	1873677
BF	BINA.txt	8	0	0.025802	1991035
BF	BINA.txt	8	1	0.025956	1993922
BF	BINA.txt	8	2	0.027470	1991692
BF	BINA.txt	8	3	0.026777	1992258
BF	BINA.txt	8	4	0.025798	1991178
BF	BINA.txt	8	5	0.026896	1993451
BF	BINA.txt	8	6	0.026687	1992246
BF	BINA.txt	8	7	0.027599	1992096
BF	BINA.txt	8	8	0.026704	1993790
BF	BINA.txt	8	9	0.026678	1990156
BF	BINA.txt	8	10	0.028073	1992237
BF	BINA.txt	8	11	0.028014	1992362
BF	BINA.txt	8	12	0.027299	1992331
